i-3-1;10
i-3-2;5
ii-1-1.1;25
ii-1-1.2;20
ii-1-1.3;15
ii-1-1.4;10
ii-1-10;12
ii-1-11;5
ii-1-12;20
ii-1-13;10
ii-1-14;5
ii-1-15;2
ii-1-16;10
ii-1-17.1;15
ii-1-17.2;10
ii-1-17.3;5
ii-1-18;20
ii-1-19;40
ii-1-20;20
ii-1-2;5
ii-1-3;5
ii-1-4.1;8
ii-1-4.2;6
ii-1-4.3;4
ii-1-5.1;4
ii-1-5.2;3
ii-1-5.3;2
ii-1-6;10
ii-1-7;40
ii-1-8;10
ii-1-9;10
ii-2-1.1;10
ii-2-1.2;15
ii-2-1.3;20
ii-2-10.1;5
ii-2-10.2;10
ii-2-10.3;15
ii-2-11;5
ii-2-12;5
ii-2-13;3
ii-2-14;3
ii-2-2;10
ii-2-3;15
ii-2-4;15
ii-2-5;1
ii-2-6.1;16
ii-2-6.2;5
ii-2-7.1;20
ii-2-7.2;10
ii-2-8.1;20
ii-2-8.2;15
ii-2-9.1;20
ii-2-9.2;20
ii-2-9.3;20
ii-2-9.4;15
ii-3-10;8
ii-3-11;6
ii-3-12.1;5
ii-3-12.2;3
ii-3-12.3;1
ii-3-13;10
ii-3-14;2
ii-3-15.1;10
ii-3-15.2;5
ii-3-15.3;20
ii-3-15.4;10
ii-3-16;5
ii-3-17;10
ii-3-18;5
ii-3-19.1;20
ii-3-19.2;10
ii-3-1;20
ii-3-20;5
ii-3-21.1;20
ii-3-21.2;3
ii-3-22;4
ii-3-23.1;2
ii-3-23.2;3
ii-3-23.3;4
ii-3-3;5
ii-3-4;20
ii-3-5;20
ii-3-6;20
ii-3-7;20
ii-3-8;5
ii-3-9;10
ii-4-1;1
ii-4-2;2
ii-4-3;3
ii-4-4;3
ii-4-5;1
ii-4-6;3
ii-4-7;5
ii-4-8;8
iii-1-1;10
iii-1-2;10
iii-1-3;5
iii-2-10.1;7
iii-2-10.2;4
iii-2-11.1;10
iii-2-11.2;6
iii-2-12.1;15
iii-2-12.2;8
iii-2-1;10
iii-2-2;5
iii-2-3;5
iii-2-4;3
iii-2-5;3
iii-2-6;5
iii-2-7;2
iii-2-8.1;10
iii-2-8.2;6
iii-2-8.3;5
iii-2-9.1;5
iii-2-9.2;3
iv-1-10;8
iv-1-11;8
iv-1-12;8
iv-1-13;8
iv-1-14;8
iv-1-15;8
iv-1-1;14
iv-1-2;14
iv-1-3;12
iv-1-4;12
iv-1-5;10
iv-1-6;10
iv-1-7;10
iv-1-8;10
iv-1-9;10
iv-2-1;5
iv-2-2;10
iv-2-3;4
iv-2-4;10
iv-2-5.1;10
iv-2-5;10
iv-2-6.1;2
iv-2-6.2;4
iv-2-6.3;6
iv-2-6.4;8
iv-2-6.5;10
iv-2-6.6;12
iv-3-10;3
iv-3-11;3
iv-3-12;3
iv-3-13;3
iv-3-14;3
iv-3-15;3
iv-3-16;3
iv-3-17;3
iv-3-18;3
iv-3-19;2
iv-3-1;7
iv-3-20.1;5
iv-3-20.2;4
iv-3-20.3;3
iv-3-20.4;2
iv-3-21;5
iv-3-22;5
iv-3-2;6
iv-3-3;5
iv-3-4;5
iv-3-5;5
iv-3-6;5
iv-3-7;5
iv-3-8;3
iv-3-9;5
iv-4-1;10
iv-4-2;10
iv-4-3;3
iv-4-4;10
iv-4-5;10
iv-4-6;10
v-1-10;4
v-1-11;5
v-1-12;3
v-1-13;3
v-1-14;6
v-1-15;3
v-1-16;3
v-1-17;2
v-1-18;4
v-1-19;2
v-1-1;20
v-1-20;2
v-1-21;1
v-1-22;6
v-1-23;5
v-1-24;5
v-1-25;4
v-1-26;3
v-1-27;3
v-1-28;2
v-1-29;1
v-1-2;7
v-1-30;20
v-1-31;8
v-1-32;1
v-1-33;1
v-1-34;1
v-1-35;4
v-1-3;10
v-1-4;4
v-1-5;15
v-1-6;5
v-1-7;8
v-1-8;3
v-1-9;8
v-2-1.1;4
v-2-1.2;6
v-2-10;2
v-2-11;10
v-2-2;2
v-2-3.1;4
v-2-3.2;6
v-2-4.1;6
v-2-4.2;8
v-2-5.1;3
v-2-5.2;4
v-2-6.1;5
v-2-6.2;6
v-2-7.1;6
v-2-7.2;8
v-2-8;3
v-2-9.1;8
v-2-9.2;6
v-3-1;12
v-3-2;12
v-3-3;12
v-3-4;3
v-3-5;1
v-3-6;2
